date,hour,min_watts,max_watts,avg_watts,samples
2025-02-03,0,0,0.00,0.00,12
2025-02-03,1,0,0.00,0.00,12
2025-02-03,2,0,0.00,0.00,12
2025-02-03,3,0,0.00,0.00,12
2025-02-03,4,0,0.00,0.00,12
2025-02-03,5,0,0.00,0.00,12
2025-02-03,6,0,0.00,0.00,12
2025-02-03,7,0,0.00,0.00,12
2025-02-03,8,0,0.00,0.00,12
2025-02-03,9,0,0.00,0.00,12
2025-02-03,10,0,0.00,0.00,12
2025-02-03,11,0,0.00,0.00,12
2025-02-03,12,0,0.00,0.00,12
2025-02-03,13,0,0.00,0.00,12
2025-02-03,14,0,0.00,0.00,12
2025-02-03,15,0,0.00,0.00,12
2025-02-03,16,0,0.00,0.00,12
2025-02-03,17,0,0.00,0.00,12
2025-02-03,18,0,0.00,0.00,12
2025-02-03,19,0,0.00,0.00,12
2025-02-03,20,0,0.00,0.00,12
2025-02-03,21,0,0.00,0.00,12
2025-02-03,22,0,0.00,0.00,12
2025-02-03,23,0,0.00,0.00,12
